time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1714762761451238000,4577.460237792969,45,0.26319921016693115,1.32275390625,13.449000358581543,1.1760597229003906,96.17498016357422,136.1300671950717,-77.6770705,43.0851194
1714762762573622500,4578.582622558593,45,0.2743785083293915,1.4385851621627808,12.885000228881836,1.2383657693862915,99.58071899414062,135.83708514117322,-77.677049,43.085115
1714762763869848800,4579.878848876953,45,0.2756207287311554,1.4235846996307373,11.118000030517578,1.2752385139465332,121.04473114013672,135.87151004934861,-77.6770248,43.085109
1714762764612604400,4580.6216044921875,45,0.2640191316604614,1.4235846996307373,11.34000015258789,1.2518616914749146,157.2289581298828,135.87151004934861,-77.6770148,43.0851022
1714762765112420000,4581.121420166016,45,0.31140536069869995,1.413245439529419,11.4350004196167,1.127656102180481,193.93295288085938,135.44144191477383,-77.6770138,43.0850958
1714762765812427300,4581.821427246094,45,0.2829541862010956,1.413245439529419,11.602999687194824,1.1741701364517212,245.8338165283203,135.44144191477383,-77.6770206,43.0850894
1714762766212069400,4582.2210693359375,45,0.31068623065948486,1.3853952884674072,11.746000289916992,1.1526341438293457,262.86383056640625,134.59256825886607,-77.6770278,43.0850885
1714762767349628000,4583.358627929688,45,0.3067801594734192,1.3726009130477905,11.87399959564209,1.1340945959091187,273.604736328125,135.7338218738619,-77.6770454,43.0850882
1714762768113207000,4584.12220703125,45,0.25368914008140564,1.3726009130477905,11.942999839782715,1.1694759130477905,274.1468200683594,135.7338218738619,-77.6770577,43.0850896
1714762768704168200,4584.71316821289,45,0.24751628935337067,1.1453028917312622,11.937999725341797,1.1630572080612183,264.7434387207031,138.03510469111302,-77.6770663,43.0850899
1714762769397896400,4585.406896484375,45,0.21462765336036682,1.1453028917312622,11.711999893188477,1.2068194150924683,263.0793151855469,138.03510469111302,-77.6770882,43.0850905
1714762769897277400,4585.90627734375,45,0.2550845146179199,1.418395757675171,11.477999687194824,1.2143081426620483,265.31396484375,140.39999389648438,-77.6771013,43.0850907
1714762770738827500,4586.747827636719,45,0.23781904578208923,1.418395757675171,11.265999794006348,1.2408782243728638,264.38873291015625,140.39999389648438,-77.6771187,43.0850906
1714762771076847600,4587.08584765625,45,0.23781904578208923,1.3898056745529175,11.069000244140625,1.2420051097869873,264.37060546875,138.31190871533076,-77.6771265,43.0850906
1714762772234572800,4588.243572753906,45,0.22714680433273315,1.2837092876434326,10.9399995803833,1.2831368446350098,266.9120788574219,138.14490748446772,-77.6771478,43.0850899
1714762772272420600,4588.281420654297,45,0.22714680433273315,1.21690034866333,10.9350004196167,1.2831697463989258,267.1119079589844,136.3000030517578,-77.6771495,43.0850901
1714762773414755300,4589.423755371094,45,0.15880626440048218,1.1712939739227295,10.479999542236328,1.29336678981781,266.6430358886719,136.3000030517578,-77.677189,43.0850899
1714762774161700000,4590.170700195313,45,0.21503420174121857,1.1712939739227295,10.194999694824219,1.2957067489624023,266.0022277832031,136.3000030517578,-77.6772105,43.0850895
1714762774659527400,4590.66852734375,45,0.18475660681724548,1.1816339492797852,10.166000366210938,1.2958245277404785,269.5206604003906,136.3000030517578,-77.6772236,43.0850902
1714762775458037500,4591.467037597657,45,0.2250821590423584,1.1816339492797852,10.152999877929688,1.2924758195877075,274.6973876953125,136.3000030517578,-77.6772408,43.0850917
1714762775832044000,4591.841043945313,45,0.2250821590423584,1.352027177810669,10.133000373840332,1.2927329540252686,276.89306640625,136.3000030517578,-77.6772492,43.0850929
1714762776078533600,4592.087533691406,45,0.26316043734550476,1.7276506423950195,10.154000282287598,1.2989648580551147,277.1047668457031,136.3000030517578,-77.6772583,43.0850947
1714762776635569200,4592.644569091797,45,0.23280462622642517,1.7276506423950195,10.187999725341797,1.2826859951019287,277.999755859375,136.3000030517578,-77.6772809,43.085096
1714762777035699700,4593.044699707031,45,0.23280462622642517,1.7276506423950195,10.255999565124512,1.2827469110488892,278.0901794433594,136.3000030517578,-77.6772811,43.0850961
1714762777936934400,4593.9459343261715,45,0.22133769094944,1.4555152654647827,10.196999549865723,1.263250470161438,278.11224365234375,136.3000030517578,-77.6772926,43.0850969
